basis_set,n_reactions,n_converged,convergence_rate
"def2SVP, def2TZVP",54,16,0.2963
dgdzvp,54,36,0.6667
LAND2DZ,54,3,0.0556
LANL2DZ+ECP,53,32,0.6038
"Def2-SVP, Def2-TZVPP",53,10,0.1887
G98,53,0,0.0000
"DZ, TZ",53,32,0.6038
Stuttgart/Dresden basis set,53,1,0.0189
311-split,52,40,0.7692
def2-SVP; def2-TZVP,52,11,0.2115
"6-31G(d), 6-311G(d), 6-311++G(2d,p)",52,0,0.0000
VQZ,52,20,0.3846
LANL2TZ (f),51,0,0.0000
"BS-I, BS-II",50,0,0.0000
lacv3p**,50,0,0.0000
lacvp*,50,0,0.0000
"BS1, BS2, def2-TZVP",50,2,0.0400
cc-pvdz-f12,50,0,0.0000
aug-cc-pwcvtz,50,0,0.0000
"6-311++G**, Lanl2dz+f, 6-31G*",50,45,0.9000
def2-TZVP(F),50,0,0.0000
"Lanl2dz, 6-31g(d,p), Lanl08(f), Lanl08(d), 6-311+g(2d,p)",49,35,0.7143
maug-cc-pVTZ,49,0,0.0000
"6-311+G(2d,2p), LanL2TZ",49,0,0.0000
"6-311++G (d, p), 6-31G(d), LANL2DZ",49,2,0.0408
SARC-ZORA-TZVP,49,9,0.1837
ECP28MWB,48,16,0.3333
def2-SV/J,48,18,0.3750
6s5p3d2f] ECP28MWB,48,0,0.0000
CP(PPP),48,8,0.1667
def2-SV,48,19,0.3958
6-31G(d)[5d],47,0,0.0000
def2-sv(p),47,0,0.0000
def2-QVPP,47,0,0.0000
svp,46,0,0.0000
"6-311+G*, SDD",46,0,0.0000
"SVP, (8s7p6d)/[6s5p3d]",46,0,0.0000
cc-pVDZ-pp,46,0,0.0000
6-31(+)G(d),46,0,0.0000
SDD(Rh),46,30,0.6522
ANO-L-VTZ,46,0,0.0000
def2-QZVPP1,45,0,0.0000
STO-TZ2P,45,0,0.0000
"6-311G(2d,2p)",45,0,0.0000
6-31G(d)/Ni: lanl2dz,45,27,0.6000
"6-31G(d,p) for all other atoms",45,32,0.7111
SDD for Rh in single-point calculations,45,32,0.7111
6-311+G(3df),45,32,0.7111
TZ2P(sbk-jc),45,1,0.0222
LANL2DZ(d),45,8,0.1778
6-311(d),45,26,0.5778
"6-311+g(2d,2p)",45,0,0.0000
Lanl2dz (Cu),44,0,0.0000
SDD (Cu),44,0,0.0000
6-31G+,44,38,0.8636
"6-31G(d,p), SDD",44,0,0.0000
D95(d),44,42,0.9545
"6-31G(d,P)",44,0,0.0000
LANL2DZ-6-31+G(d),44,6,0.1364
lanl2dz-6-31+g**,43,0,0.0000
lanl2dz-6-31g*,43,0,0.0000
"6-311g(d,p)",43,2,0.0465
SDD with effective core potential (ECP) for Fe,43,0,0.0000
def2-TZVPP+,43,0,0.0000
aug-cc-pVQZ-PP,43,20,0.4651
pcSseg-2,43,0,0.0000
"6-31++G(2df,2dp)",43,0,0.0000
Basis set II,43,1,0.0233
Basis set I,43,1,0.0233
ECP1,42,0,0.0000
"6-31+G(2d,p)",42,0,0.0000
UFF,42,29,0.6905
SDD for Pd,42,20,0.4762
def2-tsvp,42,5,0.1190
"6-311G++(d,p) (C1-C6, H29)",41,24,0.5854
