doi,n_leaves_parsed,n_xyz_total,elements
10.1002/adsc.202200446,1,61,C H N Ni O
10.1002/adsc.202200465,1,11,C H N O
10.1002/adsc.202200497,1,12,C H O
10.1002/adsc.202200525,1,21,C H N
10.1002/adsc.202200550,1,8,C H N O
10.1002/adsc.202200601,1,24,C H N O
10.1002/adsc.202200645,1,5,B C F H N Ni O
10.1002/adsc.202200654,1,9,C H Ir N
10.1002/adsc.202200686,1,16,C H P Pd
10.1002/adsc.202200708,1,4,C H N
10.1002/adsc.202200764,1,11,C H O
10.1002/adsc.202200780,1,2,O
10.1002/adsc.202200828,1,20,Au C H N O P S
10.1002/adsc.202200860,1,28,Au C F H N O P S
10.1002/adsc.202200934,1,6,C F H N O
10.1002/adsc.202201001,1,8,C H I N S
10.1002/adsc.202201095,1,5,C H I N O S
10.1002/adsc.202201141,1,8,B C H N
10.1002/adsc.202201226,1,23,C Cs H O
10.1002/adsc.202201277,1,61,C H N O
10.1002/adsc.202201291,1,31,C H O
10.1002/adsc.202201332,1,2,C H N
10.1002/adsc.202201337,1,16,C Cl H Ru
10.1002/adsc.202300042,1,12,Br C H O
10.1002/adsc.202300045,1,32,C H N O
10.1002/adsc.202300083,1,119,C H N O
10.1002/adsc.202300121,1,87,B C H O
10.1002/adsc.202300136,1,39,C H O
10.1002/adsc.202300145,1,3,Br C H N O S
10.1002/adsc.202300165,1,1,C H N O
10.1002/adsc.202300217,1,14,Br C H N O
10.1002/adsc.202300260,1,12,C H N O
10.1002/adsc.202300329,1,45,C H O
10.1002/adsc.202300337,1,85,C F H O
10.1002/adsc.202300375,1,39,Br C H O
10.1002/adsc.202300392,1,2,Br C H N Ru
10.1002/adsc.202300426,1,72,B C
10.1002/adsc.202300458,1,19,C H N O
10.1002/adsc.202300527,1,41,C H Ir O P
10.1002/adsc.202300537,1,108,C Ga H N O
10.1002/adsc.202300553,1,64,C F H N O S
10.1002/adsc.202300594,1,14,C H N O
10.1002/adsc.202300607,1,20,C H N
10.1002/adsc.202300613,1,5,C H N O
10.1002/adsc.202300639,1,29,C H N O
10.1002/adsc.202300653,1,16,C H N O
10.1002/adsc.202300662,1,8,C H N O
10.1002/adsc.202300682,1,2,B C H N
10.1002/adsc.202300693,1,38,C Cl Cu H N P
10.1002/adsc.202300767,1,41,C H N O
10.1002/adsc.202300793,1,12,C H N O
10.1002/adsc.202300808,1,59,C H O
10.1002/adsc.202300811,1,7,C H N O
10.1002/adsc.202300813,1,3,B C F H N O
10.1002/adsc.202300909,1,14,C H N O S
10.1002/adsc.202300997,1,4,C Cu H N O
10.1002/adsc.202301040,1,21,C H
10.1002/adsc.202301090,1,46,C H O
10.1002/adsc.202301113,1,10,C H N O
10.1002/adsc.202301160,1,6,C Cu H N O
10.1002/adsc.202301183,1,30,C H O
10.1002/adsc.202301188,1,42,C F H N O P S
10.1002/adsc.202301208,1,7,C H O
10.1002/adsc.202301304,1,6,C H N O
10.1002/adsc.202301326,1,117,B C H O
10.1002/adsc.202301329,1,30,C H I In O
10.1002/adsc.202301374,1,79,C H N
10.1002/adsc.202301381,1,6,Br C H
10.1002/adsc.202301405,1,26,C H N O
10.1002/adsc.202301414,1,9,C H
10.1002/adsc.202301465,1,11,H O
10.1002/adsc.202301474,1,27,Cl Li
10.1002/adsc.202400013,1,5,Au C H N O P
10.1002/adsc.202400133,1,2,C H N O
10.1002/adsc.202400156,1,19,Db
10.1002/adsc.202400181,1,96,Br C H O
10.1002/adsc.202400218,1,14,C H O
10.1002/adsc.202400252,1,9,Au Br C H N O
10.1002/adsc.202400253,1,77,C H N O
10.1002/adsc.202400293,1,40,C H N O Si
10.1002/adsc.202400297,1,8,C H O
10.1002/adsc.202400316,1,100,C H N O Pd
10.1002/adsc.202400337,1,18,C H O
10.1002/adsc.202400402,1,14,C H
10.1002/adsc.202400446,1,76,Br C F H S
10.1002/adsc.202400456,1,18,C H O S
10.1002/adsc.202400466,1,2,B C F H N O
10.1002/adsc.202400484,1,6,C H I O
10.1002/adsc.202400486,1,18,C H O P Pd
10.1002/adsc.202400527,1,59,Ac H
10.1002/adsc.202400529,1,11,C H O
10.1002/adsc.202400534,1,1,C H N P Ru
10.1002/adsc.202400578,1,6,C Cl H N O
10.1002/adsc.202400657,1,57,C H
10.1002/adsc.202400676,1,35,C H N O S
10.1002/adsc.202400684,1,25,C H N O
10.1002/adsc.202400697,1,23,C H N O
10.1002/adsc.202400716,1,16,C H N O Rh
10.1002/adsc.202400765,1,63,C H
10.1002/adsc.202400834,1,8,C F Fe H O S
10.1002/adsc.202400899,1,3,C H N S
10.1002/adsc.202400909,1,2,Be H He
10.1002/adsc.202400919,1,24,C H P
10.1002/adsc.202400951,1,43,C H O
10.1002/adsc.202400953,1,60,C H O
10.1002/adsc.202400961,1,17,C H N O
10.1002/adsc.202400993,1,34,C H N O
10.1002/adsc.202401105,1,3,Au C F H N O P
10.1002/adsc.202401139,1,43,Be H He Li
10.1002/adsc.202401188,1,5,B C H O
10.1002/adsc.202401189,1,22,C N
10.1002/adsc.202401203,1,11,C H P
10.1002/adsc.202401209,1,17,Br C H N O
10.1002/adsc.202401225,1,12,C H N O
10.1002/adsc.202401329,1,24,C H
10.1002/adsc.202401331,1,4,Ne
10.1002/adsc.202401348,1,4,C H N O Pd S
10.1002/adsc.202401401,1,18,C H P
10.1002/adsc.202401418,1,1,C H N O
10.1002/adsc.202401443,1,21,C H N O
10.1002/adsc.202401444,1,119,C H
10.1002/adsc.202401535,1,36,C H O
